# 1,000,000 IDs per column; bytes per ID: raw / zlib-6 / lzma-6

## steady 1,000 IDs/s
format                          raw   zlib   lzma
bigint sequence (baseline)      8.0    2.1    0.3
snowflake (8 B)                 8.0    2.1    0.2
uuid v4 (16 B)                 16.0   16.0   16.0
uuid v7 (16 B)                 16.0   12.9   10.5
ulid (16 B)                    16.0   13.0   10.9
ulid monotonic (16 B)          16.0   13.0   10.9
ulid text (26 chars)           26.0   13.4   11.3
nanoid text (21 chars)         21.0   15.9   16.1
uuid v4 text (36 chars)        36.0   20.4   17.8

## steady 100,000 IDs/s
format                          raw   zlib   lzma
bigint sequence (baseline)      8.0    2.1    0.3
snowflake (8 B)                 8.0    2.2    0.3
uuid v4 (16 B)                 16.0   16.0   16.0
uuid v7 (16 B)                 16.0   11.2    9.9
ulid (16 B)                    16.0   12.1   10.4
ulid monotonic (16 B)          16.0    1.9    0.4
ulid text (26 chars)           26.0   12.4   10.9
nanoid text (21 chars)         21.0   15.9   16.1
uuid v4 text (36 chars)        36.0   20.4   17.8
