# PostgreSQL 18, 5000000 rows per table, one INSERT ... SELECT, shared_buffers=128MB
case                          | insert_ms|   heap_MB|  index_MB|leaf_density|    wal_MB|index_B/row
bigint identity (baseline)    |      7768|     211.2|     107.1|      90.03%|     675.6|      22.5
snowflake bigint              |      6049|     211.2|     107.1|      90.03%|     660.5|      22.5
uuid v4 (gen_random_uuid)     |     25340|     248.8|     193.0|      70.16%|     813.3|      40.5
uuid v7 (uuidv7)              |     10069|     248.8|     150.4|      89.99%|     742.5|      31.5
ulid as uuid                  |      7967|     248.8|     202.0|       67.1%|     796.3|      42.4
ulid monotonic as uuid        |      6069|     248.8|     150.4|      89.99%|     742.5|      31.5
ulid text COLLATE "C"         |      9588|     287.2|     316.5|      67.68%|     963.0|      66.4
ulid monotonic text COLLATE "C"|      6809|     287.2|     237.2|      90.14%|     868.7|      49.7
nanoid(21) text COLLATE "C"   |     29459|     287.2|     257.0|      67.98%|     922.3|      53.9
uuid v4 as text               |     38234|     365.1|     364.2|      69.62%|    1132.4|      76.4
