# Relative ID text form (docs/ALGORITHMS.md).
#   parts <tag> <timestamp_ms> <random> <expected>   expected is the text, or "error".
#   parse <text> <tag> <timestamp_ms> <random>       a non-canonical spelling that must parse.
parts 0 0 0 000000-0000000000-0000000000
parts 1073741823 281474976710655 1125899906842623 ZZZZZZ-7ZZZZZZZZZ-ZZZZZZZZZZ
parts 1 1469918176385 1 000001-01ARYZ6S41-0000000001
parts 536870912 140737488355328 562949953421312 G00000-4000000000-G000000000
parts 853598795 170387741699178 293688885556044 SE1RJB-4TYXYD2V3A-8B3F2V5CTC
parts 367391780 23355428486505 250324182779204 AYBX14-0N7QE09FB9-73NCHZWHA4
parts 597520596 219885721649014 681763509539842 HSTW6M-67ZGH58ZVP-KC1XQWX502
parts 735541567 224528889578847 952207741552900 NXEY9Z-6C6MTB91AZ-V20WJ30284
parts 465894812 130383573947929 327470790400519 DW9ZCW-3PJN59R5GS-99TMY25PG7
parts 1030755572 266642995050291 999912379544210 YQ057M-7JGAMG0XSK-WDD8Z30WMJ
parts 1073741824 0 0 error
parts 0 281474976710656 0 error
parts 0 0 1125899906842624 error
parse se1rjb-4tyxyd2v3a-8b3f2v5ctc 853598795 170387741699178 293688885556044
parse SE1RJB4TYXYD2V3A8B3F2V5CTC 853598795 170387741699178 293688885556044
parse se1rjb4tyxyd2v3a8b3f2v5ctc 853598795 170387741699178 293688885556044
