# Relative ID tags (docs/ALGORITHMS.md). Salt and key are UTF-8; "-" stands for empty.
#   <secret_hex> <salt_hex> <key_hex> <tag> <tag_text>
30313233343536373839616263646566 - - 139347068 44WH3W
30313233343536373839616263646566 - 637573746f6d65722d3432 162792831 4V81BZ
30313233343536373839616263646566 6f7264657273 637573746f6d65722d3432 175212189 5731MX
30313233343536373839616263646566 696e766f69636573 637573746f6d65722d3432 837320700 RYGZZW
30313233343536373839616263646566 6162 63 214785027 6CTQ03
30313233343536373839616263646566 61 6263 133256026 3Z2MTT
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 - 4453414241416164616173646173 963566758 WPXQ56
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 74c3a96e616e74 636cc3a92de697a5e69cac2df09f9880 1052196833 ZBEFZ1
998aadaf5acfcbf2d0fb0db46fb47d96e83bb6b7cd17799e315cd98f3e553acfad93f9f290935674165767840e68e990a34d6ddadb276c4429af2aab9a336ecf34bd44475408a9c82481309734fcc17f9e34e7b8042348824152b15bccd48a8eaa8ba68e 78 79 503111158 EZSQFP
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 1068984460 ZVET4C
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 279166167 8A7F6Q
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 654094382 KFSC1E
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 743199062 P4RMAP
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 803939860 QYP9GM
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 102957190 326046
6447b5b251567657b9392aa9bf8d0498253e598506a0f1a61c5ea17f535f60c6 73616c74 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b 66288773 1Z6Z45
