# UUIDv4 and UUIDv7 from fixed randomness (docs/ALGORITHMS.md).
#   v4 <random_hex(16 bytes)> <expected>
#   v7 <timestamp_ms> <random_hex(10 bytes)> <expected>
# expected: the canonical lowercase text form, or "error" (timestamp out of range).
v4 919108f752d143209bacf847db4148a8 919108f7-52d1-4320-9bac-f847db4148a8
v4 00000000000000000000000000000000 00000000-0000-4000-8000-000000000000
v4 ffffffffffffffffffffffffffffffff ffffffff-ffff-4fff-bfff-ffffffffffff
v4 399718e5f601c3500952d983f5f2d2b4 399718e5-f601-4350-8952-d983f5f2d2b4
v4 c918fb3ec76080bc349222a9fa291147 c918fb3e-c760-40bc-b492-22a9fa291147
v4 a4a15142b5f79c4ab15cfce061e3da00 a4a15142-b5f7-4c4a-b15c-fce061e3da00
v4 0f2b9f0031f5a742d4902e7494611a39 0f2b9f00-31f5-4742-9490-2e7494611a39
v4 93ab81b1f6c71cdc6e1b033d4bd86fbf 93ab81b1-f6c7-4cdc-ae1b-033d4bd86fbf
v4 8cd2ee8650052c539e22f8f5ff695dbf 8cd2ee86-5005-4c53-9e22-f8f5ff695dbf
v7 1645557742000 7cc398c4dc0c0c07398f 017f22e2-79b0-7cc3-98c4-dc0c0c07398f
v7 0 00000000000000000000 00000000-0000-7000-8000-000000000000
v7 281474976710655 ffffffffffffffffffff ffffffff-ffff-7fff-bfff-ffffffffffff
v7 1469918176385 470808aa6b93b712017c 01563df3-6481-7708-88aa-6b93b712017c
v7 186537465241042 0b38dc16c42bd3ab7651 a9a7a35a-5dd2-7b38-9c16-c42bd3ab7651
v7 136539799025989 ae66f5477ab0c39eee9f 7c2ea637-f945-7e66-b547-7ab0c39eee9f
v7 117530856359768 d45e3a0012ad173691f2 6ae4c8f1-8758-745e-ba00-12ad173691f2
v7 263056406210681 0fd737ad6737a65e0a42 ef3f97a5-e879-7fd7-b7ad-6737a65e0a42
v7 216244668686182 bd8db9e236c4e9d4340b c4ac62a9-5f66-7d8d-b9e2-36c4e9d4340b
v7 266933327290166 a1ff80e57593b20d1925 f2c64226-df36-71ff-80e5-7593b20d1925
v7 281474976710656 00000000000000000000 error
v7 4611686018427387904 00000000000000000000 error
